Model,Reference,Protocol,Brand,ManufacturerURL,Remark,Unnamed: 6,Unnamed: 7,Type,Cable,SupportURL,Message,Selected,Number,Lens,Network,Base,MaxDelayToComplete,ControlCoverage,Bidrectionnal
AtomOne 4K,Atom4K,DreamChip Serial,Dreamchip,,,,Search about Dreamchip et AtomOne 4K,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,FALSE,4,Fixed,LAN wired,Fixed,10000,5,
CV225,MarshallCV225,Marshall Breakout,Marshall,,,,Search about Marshall et CV225,Mini Camera,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,FALSE,2,Fixed,LAN RF,Fixed,1000,2,No
AW-HE130,AWHE130,Panasonic PTZ,Panasonic,,,,Search about Panasonic et AW-HE130,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,FALSE,4,Fixed,LAN wired,Fixed,1000,4,
BRC-H800,BRCH800,Sony PTZ,Sony,,,,Search about Sony et BRC-H800,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyPTZ,,FALSE,2,Fixed,WAN wired,Fixed,1000,4,
PXW-500,PXW-X500,Sony 8-Pin,Sony,https://pro.sony/fr_FR/products/shoulder-camcorders/pmw-500,"Sony 8-Pin pour CDC, Ethernet pour broadcast (Tally,……)",,Search about Sony et PXW-500,Shoulder Camcorder,CY-CBL-SONY-8P-03,https://support.cyanview.com/docs/Integrations/Sony/Sony8Pin,Our solutions offers the same color control than the Sony RCP,FALSE,4,Fixed,LAN RF,Fixed,100,3,
Alpha 7 Mark 4,ILCE-7M4,Sony DSLR,Sony,,,,Search about Sony et Alpha 7 Mark 4,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,FALSE,1,Fixed,LAN wired,Fixed,1000,2,
FX3,ILME-FX3,Sony DSLR,Sony,,,,Search about Sony et FX3,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,FALSE,1,Fixed,LAN wired,Fixed,1000,3,
Burano,SonyBurano,Sony Burano,Sony,,,,Search about Sony et Burano,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyBurano,,FALSE,2,Fixed,WAN RF,Fixed,1000,4,
