Slow Motion,Mini Camera,PTZ,Shoulder Camcorder,Handheld Camcorder,Block,DSLR,System,Large Sensor,Unknown,Slow Motion,Mini Camera,PTZ,Shoulder Camcorder,Handheld Camcorder,Block,DSLR,System,Large Sensor,Unknown,Slow Motion,Mini Camera,PTZ,Shoulder Camcorder,Handheld Camcorder,Block,DSLR,System,Large Sensor,Unknown
Network,Network,Network,Network,Network,Network,Network,Network,Network,Network,Lens,Lens,Lens,Lens,Lens,Lens,Lens,Lens,Lens,Lens,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base
LAN wired,LAN wired,LAN wired,LAN wired,LAN wired,LAN wired,LAN wired,LAN wired,LAN wired,LAN wired,B4 ENG,B4 ENG,B4 ENG,B4 ENG,B4 ENG,B4 ENG,B4 ENG,B4 ENG,B4 ENG,B4 ENG,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed
LAN RF,LAN RF,LAN RF,LAN RF,LAN RF,LAN RF,LAN RF,LAN RF,LAN RF,LAN RF,Cinema,Cinema,Cinema,Cinema,Cinema,Cinema,Cinema,Cinema,Cinema,Cinema,Robotic head,Robotic head,Robotic head,Robotic head,Robotic head,Robotic head,Robotic head,Robotic head,Robotic head,Robotic head
,WAN wired,WAN wired,WAN wired,WAN wired,WAN wired,WAN wired,WAN wired,WAN wired,WAN wired,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,Photo,,,,,,,,,,
,WAN RF,WAN RF,WAN RF,WAN RF,WAN RF,WAN RF,WAN RF,WAN RF,WAN RF,Prime,Prime,Prime,Prime,Prime,Prime,Prime,Prime,Prime,Prime,,,,,,,,,,
,RF video,RF video,RF video,RF video,RF video,RF video,RF video,RF video,RF video,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,,,,,,,,,,
,WAN video,WAN video,WAN video,WAN video,WAN video,WAN video,WAN video,WAN video,WAN video,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Internal,,,,,,,,,,
,,,,,,,,,,Camera integrated,Camera integrated,Camera integrated,Camera integrated,Camera integrated,Camera integrated,Camera integrated,Camera integrated,Camera integrated,Camera integrated,,,,,,,,,,
