Model,Reference,Protocol,Brand,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidrectionnal,Selected,Number,Lens,Network,Base
C300mk2,C300mk2,Canon RemoteA,Canon,,,Large Sensor,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
C300mk3,C300mk3,Canon XC,Canon,,,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN wired,Fixed
C500mk1,C500mk1,Canon RemoteA,Canon,,,Large Sensor,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
C500mk2,C500mk2,Canon XC,Canon,,,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN wired,Fixed
C70,C70,Canon XC,Canon,,,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN wired,Fixed
C700,C700,Canon RemoteA,Canon,,,Large Sensor,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
CR-N300,CanonCRN300,Canon PTZ,Canon,https://www.canon.fr/ptz-cameras/cr-n300/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN wired,Fixed
CR-N500,CanonCRN500,Canon PTZ,Canon,https://www.canon.fr/ptz-cameras/cr-n500/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN wired,Fixed
CR-N700,CanonCRN700,Canon PTZ,Canon,https://www.canon.fr/ptz-cameras/cr-n700/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN wired,Fixed
CR-X500,CanonCRX500,Canon PTZ,Canon,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonPTZ,,500.0,5.0,,False,0,Fixed,LAN wired,Fixed
R5,CanonR5,Canon DSLR,Canon,,,DSLR,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Canon/CanonMirrorless,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
XF605,CanonXF605,Canon XC,Canon,https://fr.canon.be/video-cameras/xf605/ ,,Large Sensor,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN wired,Fixed
XF705,CanonXF705,Canon RemoteA,Canon,,,Large Sensor,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
VCC-HD1,CISHD1,CIS HR10A,CIS,,,Mini Camera,CY-CBL-6P-CIS-02,,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
VCC-HD10ZM,CISHD10ZM,CIS HR10A,CIS,,,Mini Camera,CY-CBL-6P-CIS-02,,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
VCC-HD1X,CIS,CIS HR10A,CIS,,,Mini Camera,CY-CBL-6P-CIS-02,,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
VCC-HD3,CISHD3,CIS HR10A,CIS,,,Mini Camera,CY-CBL-6P-CIS-02,,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
Cyan Generic,CyCam,Not still documented,Cyan,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
Imported,Imported,Not still documented,Cyan,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
AtomOne,AtomOne,DreamChip Serial,DreamChip,,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN wired,Fixed
AtomOne 4K,Atom4K,DreamChip Serial,Dreamchip,,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN wired,Fixed
AtomOne mini,AtomMini,DreamChip Serial,Dreamchip,,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN wired,Fixed
AtomOne mini Zoom,AtomMiniZoom,DreamChip Serial,Dreamchip,,,Mini Camera,CY-CBL-6P-DCHIP-02,https://support.cyanview.com/docs/Integrations/Dreamchip/,,500.0,5.0,,False,0,Fixed,LAN wired,Fixed
AtomOne SSM500,SSM500,Dreamchip SSM,DreamChip,,,Slow Motion,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/ssm500,,500.0,5.0,,False,0,Fixed,LAN wired,Fixed
AtomOne SSM500/IP,SSM500IP,Not still documented,DreamChip,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
LDK series,GrassValley,Not still documented,GrassValley,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
MojoPro,MojoPro,Not still documented,Haivision,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
DK series,HitachiDKIP,Not still documented,Hitachi,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
DK series (serial),HitachiDKSerial,Not still documented,Hitachi,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
Hitachi SK-HD1000,Hitachi SK-HD1000,Hitachi SH HD 1xxx,Hitachi,https://www.hitachikokusai.us/BroadcastandProfessionalCameras/SK-HD1000.html,,System,Ethernet-RJ45,,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
Hitachi SK-HD1300,Hitachi SK-HD1300,Hitachi SH HD 1xxx,Hitachi,https://www.hitachikokusai.us/BroadcastandProfessionalCameras/SK-HD1300.html,,System,Ethernet-RJ45,,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
Hitachi SK-HD1500,Hitachi SK-HD1500,Hitachi SH HD 1xxx,Hitachi,https://www.gravitymedia.com/product/hitachi-sk-hd1500-hd-slow-motion-production-camera/,,System,Ethernet-RJ45,,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
SK HD series,HitachiSKHDIP,Not still documented,Hitachi,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
SK HD series (serial),HitachiSKHDSerial,Not still documented,Hitachi,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
SK UHD series,HitachiSKUHDIP,Not still documented,Hitachi,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
SK UHD series (serial),HitachiSKUHDSerial,Not still documented,Hitachi,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
ICCP,Ikegami,Not still documented,Ikegami,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
2KMini,V2KMini,Not still documented,IOI,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
2KMiniRS,V2KMiniRS,Not still documented,IOI,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
4KMini,V4KMini,Not still documented,IOI,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
4KMiniRS,V4KMiniRS,Not still documented,IOI,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
8KSDI,V8KSDI,Not still documented,IOI,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
JVC GY-HM850,JVC,JVC IP,JVC,https://fr.jvc.com/pro/ccr/eng/GY-HM850RE/,,Handheld Camcorder,JVC USB-to-IP,https://support.cyanview.com/docs/Integrations/JVC/JVCCamcorder,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
VC-A series,Lumens,Not still documented,Lumens,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
VC-A71,LumensVCA71PN,Not still documented,Lumens,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
