Model,Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base,CameraLensCategory,lensControl,lensType,lensMotor,LensTypes
MINI STUDIO,Mini Studio,BlackMagic SDI,BlackMagic,MFT-Mount,https://www.blackmagicdesign.com/fr/products/blackmagicmicrostudiocamera,,CineStyle,BM-SDI,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraSDI,,500.0,2.0,No,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
MINI STUDIO G2,Mini Studio G2,BlackMagic IP,BlackMagic,MFT-Mount,https://www.blackmagicdesign.com/fr/products/blackmagicmicrostudiocamera,,CineStyle,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraIP,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
URSA,URSA,BlackMagic SDI,BlackMagic,B4-Mount,https://www.blackmagicdesign.com/products/blackmagicursabroadcast,,CineStyle,BM-SDI,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraSDI,,500.0,2.0,No,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
URSA G2,URSA G2,BlackMagic IP,BlackMagic,B4-Mount,https://www.blackmagicdesign.com/products/blackmagicursabroadcast,,CineStyle,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraIP,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
CAMBALL,Camball,Not still documented,Bradley,Unknown,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
CAMBALL/IP,CamballIp,Not still documented,Bradley,Unknown,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
MEERKAT,Meerkat,Not still documented,CameraCorps,Unknown,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
QBALL,CCQBall,Not still documented,CameraCorps,Unknown,https://cameracorps.co.uk/product/qx/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
QX,CCQx,Not still documented,CameraCorps,Unknown,https://cameracorps.co.uk/product/qx-com-cam-system/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
QX MINIZOOM,CCQxMinizoom,Not still documented,CameraCorps,Unknown,https://cameracorps.co.uk/product/hd-mini-zoom/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
C100,EOS C100,Canon RemoteA,Canon,EF-Mount,https://mcu.usa.canon.com/internet/portal/us/home/products/details/cameras/cinema-eos/eos-c100-mark-ii,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
C200,C200,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
C300MK1,C300mk1,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
C300MK2,C300mk2,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
C300MK3,C300mk3,Canon XC,Canon,EF-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
C500MK1,C500mk1,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
C500MK2,C500mk2,Canon XC,Canon,EF-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
C70,C70,Canon XC,Canon,RF-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
C700,C700,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
XF605,CanonXF605,Canon XC,Canon,No-Xchange-Motorized,https://fr.canon.be/video-cameras/xf605/ ,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
XF705,CanonXF705,Canon RemoteA,Canon,No-Xchange-Motorized,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
