Model,Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base,CameraLensCategory,lensControl,lensType,lensMotor,LensTypes
CV420,MarshallCV420,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV420-30X/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV500,MarshallCV500,Marshall PushLock,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV500-MB.php,,Minicam,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV502,MarshallCV502,Marshall PushLock,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV502-MB.php,,Minicam,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV503,MarshallCV503,Marshall Hirose,Marshall,MFT-Mount,https://www.marcameurope.com/product/cv503/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV504,MarshallCV504,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV504/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV506,MarshallCV506,Marshall Hirose,Marshall,MFT-Mount,https://www.marcameurope.com/product/cv506/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV530,MarshallCV530,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV503.php,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV566,MarshallCV566,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV566/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV568,MarshallCV568,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV568/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV570,MarshallCV570,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV570/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV574,MarshallCV574,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV574/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV620-BI-WI,MarshallCV620-BI-WI,Marshall VISCA IP,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV620-BI-WI/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Generic/IPCamera,,,,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
CV630,MarshallCV630,Marshall PTZ,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV630-IP/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
CV730,MarshallCV730,Marshall PTZ,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV730/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
CV350,MarshallCV350,Not still documented,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV350.php,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
CV420-30X,MarshallCV42030X,Not still documented,Marshall,No-Xchange-Manual,https://marshall-usa.com/discontinued/cameras/CV420-30X-IP.php,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
CV420-30X-RS232,MarshallCV42030X232,Not still documented,Marshall,No-Xchange-Motorized,https://marshall-usa.com/discontinued/cameras/CV420-30X.php,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
CV605,MarshallCV605,Not still documented,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV605/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
MARSHALLGENERIC,MarshallGeneric,Not still documented,Marshall,MFT-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
QDCAM,QDCam,Not still documented,MediaEdge,Unknown,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
AU-EVA1,EVA1,Panasonic EVA1,Panasonic,LNE-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/EVA1,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
EVA1,EVA1,Panasonic EVA1,Panasonic,EF-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/EVA1,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
AG-CX350,CX350,Panasonic CX350,Panasonic,No-Xchange-Motorized,,,Handheld Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/CX350,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
CX350,CX350,Panasonic CX350,Panasonic,MFT-Mount,,,Handheld Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/CX350,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
VARICAM,Varicam,Panasonic Varicam,Panasonic,B4-Mount,,,Shoulder Camcorder,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/Varicam,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
BGH1,BGH1,Panasonic BGH1,Panasonic,MFT-Mount,,,Mirrorless,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/BGH1,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
BSH1,BSH1,Panasonic BGH1,Panasonic,MFT-Mount,,,Mirrorless,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/BGH1,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
DC-BGH1/BS1H,LumixBGH1,Panasonic BGH1,Panasonic,MFT-Mount,,,Mirrorless,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/BGH1,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
DC-GH5S,LumixGH5S,Panasonic GH5,Panasonic,MFT-Mount,https://support.cyanview.com/docs/Integrations/Panasonic/GH5S,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Panasonic/GH5S,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
LUMIX DC-GH5S,Lumix DC-GH5S,Panasonic GH5,Panasonic,MFT-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Panasonic/GH5S,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
AW-HE120,AWHE120,Panasonic PTZ,Panasonic,No-Xchange-Motorized,https://eu.connect.panasonic.com/nl/en/products/broadcast-proav/aw-he120,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AW-HE130,AWHE130,Panasonic PTZ,Panasonic,No-Xchange-Motorized,https://eu.connect.panasonic.com/nl/en/products/broadcast-proav/aw-he130,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AW-HE40,AWHE40,Panasonic PTZ,Panasonic,No-Xchange-Motorized,https://pro-av.panasonic.net/en/sales_o/camera/aw-he40/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AW-HE42,AWHE42,Panasonic PTZ,Panasonic,No-Xchange-Motorized,https://pro-av.panasonic.net/en/products/aw-he42/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AW-HE50,AWHE50,Panasonic PTZ,Panasonic,No-Xchange-Motorized,https://www.panasonic.com/in/business/broadcast/remote-camera-systems/integrated-pt-cameras/aw-he50s.html,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AW-HE60,AWHE60,Panasonic PTZ,Panasonic,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AW-HE70,AWHE70,Panasonic PTZ,Panasonic,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AW-HR140,AWHR140,Panasonic PTZ,Panasonic,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AW-UE100,AWUE100,Panasonic PTZ,Panasonic,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AW-UE150,AWUE150,Panasonic PTZ,Panasonic,No-Xchange-Motorized,https://eu.connect.panasonic.com/broadcast-proav/remote-ptz-camera-systems/aw-ue150,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AW-UE160,AWUE160,Panasonic PTZ,Panasonic,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AW-UE70,AWUE70,Panasonic PTZ,Panasonic,No-Xchange-Motorized,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
AG-HPX500,AG-HPX500,Panasonic P2,Panasonic,LNE-Mount,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
AJ-HPX2700,AJ-HPX2700,Panasonic P2,Panasonic,LNE-Mount,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
AJ-HPX3100,AJ-HPX3100,Panasonic P2,Panasonic,LNE-Mount,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
AJ-PX270,PX270,Panasonic P2,Panasonic,LNE-Mount,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
AJ-PX380,PX380,Panasonic P2,Panasonic,LNE-Mount,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
AJ-PX5000,PX5000,Panasonic P2,Panasonic,LNE-Mount,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
AJ-PX800,PX800,Panasonic P2,Panasonic,LNE-Mount,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
AK-UB300,AKUB300,Panasonic P2,Panasonic,LNE-Mount,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
P2SERIAL,P2Serial,Panasonic P2,Panasonic,LNE-Mount,,,Shoulder Camcorder,CY-CBL-6P-PAN-10P,https://support.cyanview.com/docs/Integrations/Panasonic/P2,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
UC3400,UC3400,Panasonic UC,Panasonic,B4-Mount,https://eu.connect.panasonic.com/gb/en/broadcast-proav/studio-cameras/ak-uc3300,,Shoulder Camcorder,Ethernet-RJ45,Planned to be documented  202405,UC4000 very well covered,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
UC4000,UC4000,Panasonic UC,Panasonic,B4-Mount,https://eu.connect.panasonic.com/be/fr/products/broadcast-proav/ak-uc4000,,Shoulder Camcorder,Ethernet-RJ45,Planned to be documented  202405,UC4000 very well covered,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
AG-DVX200,Dvx200,Not still documented,Panasonic,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
PANASTUDIO,PanaStudio,Not still documented,Panasonic,L-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
KOMODO,RedKomodo,Red IP,RED,RF-Mount,,,CineStyle,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/RED/Komodo,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
V-RAPTOR,VRaptor,Red IP,RED,EF-Mount,,,CineStyle,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/RED/Komodo,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
20/40 UHD,Roboshot 20/40 UHD,Not still documented,RoboSHOT,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
PIVOTCAM,PivotCam,Not still documented,ROSS,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
FCB-7520,FCB-7520,Sony Visca,Sony,No-Xchange-Motorized,,,BBlock,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Sony/SonyFCB,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
FCB-8230,FCB-8230,Sony Visca,Sony,No-Xchange-Motorized,,,BBlock,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Sony/SonyFCB,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
FCB-8550,FCB-8550,Sony Visca,Sony,No-Xchange-Motorized,,,BBlock,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Sony/SonyFCB,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
FCB-H11,FCBH11,Sony Visca,Sony,No-Xchange-Motorized,,,BBlock,CY-CBL-6P-FAN100,https://support.cyanview.com/docs/Integrations/Sony/SonyFCB,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Broadcast,No Need,B4-Mount,No extra motors,
BURANO,SonyBurano,Sony Burano,Sony,PL-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyBurano,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
FX6,ILME-FX6,Sony FX6,Sony,E-Mount,https://pro.sony/products/handheld-camcorders/ilme-fx6,,CineStyle,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyFX6,,500.0,2.0,,False,1,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
FX9-XDCA,PXW-FX9+XDCA,Sony FX9-XDCA,Sony,E-Mount,https://pro.sony/products/handheld-camcorders/pxw-fx9,,CineStyle,XDCA back,https://support.cyanview.com/docs/Integrations/Sony/SonyFX9,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
FX9-CBM,PXW-FX9,Sony CBM,Sony,E-Mount,https://pro.sony/products/handheld-camcorders/pxw-fx9,,CineStyle,WiFi,https://support.cyanview.com/docs/Integrations/Sony/SonyCBM,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
VENICE 1,Venice 1,Sony Venice,Sony,PL-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyVenice,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
VENICE 2,Venice 2,Sony Venice,Sony,PL-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyVenice,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
VENICE-IP,VeniceCBM,Sony Venice,Sony,PL-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyVenice,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
VENICE-LEGACY,Venice700,Sony Venice,Sony,PL-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Sony/SonyVenice,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
Z280,PXW-Z280,Sony CBM,Sony,No-Xchange-Motorized,https://pro.sony/products/handheld-camcorders/pxw-z280,,CineStyle,WiFi,https://support.cyanview.com/docs/Integrations/Sony/SonyCBM,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
Z750-CBM,PXW-Z750-CBM,Sony CBM,Sony,B4-Mount,https://pro.sony/products/shoulder-camcorders/pxw-z750,,CineStyle,WiFi,https://support.cyanview.com/docs/Integrations/Sony/SonyCBM,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
FS5,PXW-FS5,Sony Lanc,Sony,E-Mount,https://pro.sony/products/handheld-camcorders/pxw-fs5,,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
FS7,PXW-FS7,Sony Lanc,Sony,E-Mount,https://pro.sony/products/handheld-camcorders/pxw-fx9,,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
FX6-LANC,ILME-FX6,Sony Lanc,Sony,E-Mount,https://pro.sony/products/handheld-camcorders/ilme-fx6,,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
LANC,SonyLanc,Sony Lanc,Sony,B4-Mount,,,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
Z190,PXW-Z190,Sony Lanc,Sony,No-Xchange-Motorized,https://pro.sony/products/handheld-camcorders/pxw-z190#ProductSpecificationsBBlock-pxw-z190,,Handheld Camcorder,CY-CBL-6P-LANC-2,https://support.cyanview.com/docs/Integrations/Sony/SonyLanc,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
ALPHA,Alpha SonyMirrorless,Sony Mirrorless,Sony,E-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ALPHA 7 CR,ILCE-7CR,Sony Mirrorless,Sony,E-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ALPHA 7 MARK 4,ILCE-7M4,Sony Mirrorless,Sony,E-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ALPHA 7 R MARK 4 A,ILCE-7RM4A,Sony Mirrorless,Sony,E-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ALPHA 7 R MARK 5,ILCE-7RM5,Sony Mirrorless,Sony,E-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ALPHA 7C,ILCE-7C,Sony Mirrorless,Sony,E-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ALPHA 7C MARK 2,ILCE-7CM2,Sony Mirrorless,Sony,E-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ALPHA 7S MARK 3,ILCE-7SM3,Sony Mirrorless,Sony,E-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ALPHA 9 MARK 2,ILCE-9M2,Sony Mirrorless,Sony,E-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
ALPHA ONE,ILCE-1,Sony Mirrorless,Sony,E-Mount,,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
FX3,ILME-FX3,Sony Mirrorless,Sony,E-Mount,https://pro.sony/products/handheld-camcorders/ilme-fx3,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
FX30,ILME-FX30,Sony Mirrorless,Sony,E-Mount,https://pro.sony/products/handheld-camcorders/ilme-fx30,,Mirrorless,USB-A-to-USB-C,https://support.cyanview.com/docs/Integrations/Sony/SonyMirrorless,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD,
