Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base,CameraLensCategory,lensControl,lensType,lensMotor
Amira,Arri SSCP,ARRI,LPL-Mount,https://www.arri.com/en/camera-systems/cameras/amira,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/ARRI/ARRISSCP,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
Astro4829,Not still documented,AstroDesign,PL-Mount,https://www.astrodesign.co.jp/english/product/ab-4830_ac-4829,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors
BellDriversEye,Not still documented,Bell,Unknown,https://bellracing.eu/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors
BirdDogP100,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p100-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors
BirdDogP200,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p200-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors
BirdDogP400,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p400-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors
BirdDogP4K,Birdog PTZ,BirdDog,No-Xchange-Motorized,https://birddog.tv/p4k-overview/,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Birddog/BirddogPTZ,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors
Mini Studio,BlackMagic SDI,BlackMagic,MFT-Mount,https://www.blackmagicdesign.com/fr/products/blackmagicmicrostudiocamera,,CineStyle,BM-SDI,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraSDI,,500.0,2.0,No,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
Mini Studio G2,BlackMagic IP,BlackMagic,MFT-Mount,https://www.blackmagicdesign.com/fr/products/blackmagicmicrostudiocamera,,CineStyle,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraIP,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
URSA,BlackMagic SDI,BlackMagic,B4-Mount,https://www.blackmagicdesign.com/products/blackmagicursabroadcast,,CineStyle,BM-SDI,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraSDI,,500.0,2.0,No,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
URSA G2,BlackMagic IP,BlackMagic,B4-Mount,https://www.blackmagicdesign.com/products/blackmagicursabroadcast,,CineStyle,IP-to-USB-C,https://support.cyanview.com/docs/Integrations/Blackmagic/CameraIP,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
Camball,Not still documented,Bradley,Unknown,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors
CamballIp,Not still documented,Bradley,Unknown,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors
Meerkat,Not still documented,CameraCorps,Unknown,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors
CCQBall,Not still documented,CameraCorps,Unknown,https://cameracorps.co.uk/product/qx/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors
CCQx,Not still documented,CameraCorps,Unknown,https://cameracorps.co.uk/product/qx-com-cam-system/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors
CCQxMinizoom,Not still documented,CameraCorps,Unknown,https://cameracorps.co.uk/product/hd-mini-zoom/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors
EOS C100,Canon RemoteA,Canon,EF-Mount,https://mcu.usa.canon.com/internet/portal/us/home/products/details/cameras/cinema-eos/eos-c100-mark-ii,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
C200,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
C300mk1,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
C300mk2,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
C300mk3,Canon XC,Canon,EF-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
C500mk1,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
C500mk2,Canon XC,Canon,EF-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
C70,Canon XC,Canon,RF-Mount,,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
C700,Canon RemoteA,Canon,EF-Mount,,,CineStyle,CY-CBL-6P-LANC-1,https://support.cyanview.com/docs/Integrations/Canon/CanonRemoteA,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
CanonXF605,Canon XC,Canon,No-Xchange-Motorized,https://fr.canon.be/video-cameras/xf605/ ,,CineStyle,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Canon/CanonXC,,500.0,4.0,,False,0,Fixed,LAN Wired,Fixed,Cine Interchangeable,No Need,TBD,TBD
